TweetID;Label;tweet
46243856106258433;4;Best and worst  Internet  BIDU CTRP DANG GAME NTES SINA YOKU
46279496625688576;2a;Stock Market Analysis Video with Mike Cintolo Cabotdude FNSR CRM FFIV SINA OPEN BIDU LULU RL PCLN UA 
46296682798915584;4;Seeing more and more leaders moving today AAPL BIDU OPEN LULU  ARUN SODA etc
46322472131371008;2b;Google Slips Bing Gains In Feb US Web Searches  Tech Trader Daily  GOOG MSFT YHOO AOL IACI SCOR BIDU 
46371164079140864;4;StockSage1 like the OIHhad a great day with BIDU F MA NFLX SU ADM and WFT
46595280568729600;4;LULU  StockTwits50 The latest edition of the St50 jazz bidu lulu  
46598657935556608;4;RT Abnormalreturns A lot of turnover in names this week RT StockTwits50 The latest edition of the St50 jazz  
46616211064242176;4;LULU OPEN SINA BIDU AAPL PCLN some the most constructive charts through the correctionexpect new highs soon if we resume higher
46648299226275840;4;RT StockTwits50 The latest edition of the St50 jazz bidu lulu 
46678615932420096;2a;Watching SOHU SINA BIDU NTES for more been in SINA SOHU for while looking at NTES now
46743641888264192;4;My LIst 0314 to be watching next week vrx rvbd aapl merc tlb rl crus armh nvda Actual longs Bidu open
47041424994217984;2b;Stocks 2 Watch 03142011 SIX PLL LULU CBRX SNDA AAPL SLW SHPGY OPEN BIDU CBG YOKU and ANIK to name a few
47083959934398464;4;Tomorrows watchlistRVBD BIDU  WY
47130163124772864;4;A few of the charts that look good BIDU SOHU BID TIF RL
47130384886018048;4;RT Downtowntrader A few of the charts that look good BIDU SOHU BID TIF RL
47143642577649664;2b;These gtgt PWER NTAP BIDU MO HERO CROX ITW CNI TBL LUK VRX HYC EL WNR and a few more are on my watchlist 
47146914059264001;4;Staying Open Minded  BIDU SOHU BID RL
47157988875714560;2a;RT Downtowntrader Staying Open Minded  BIDU SOHU BID RL
47232256279986176;2a;NEW POST SLIM PICKINGS OPEN SOHU BIDU LUK
47234421190950912;4;RT ZorTrades NEW POST SLIM PICKINGS  OPEN SOHU BIDU LUK UA RL TZOO
47255048606064640;4;ERROR
47271276632489985;2b;Other juicy matchups in  WMT vs BIDU CSCO vs GS JPM vs GM AMZN vs INTC MSFT vs NFLX 
47277371224625152;4;RT StockTwits Staying Open Minded via Downtowntrader  BIDU SOHU BID RL
47318063409934336;4;Top 5 Internet stocks led by Priceline PCLN Baidu BIDU and Netflix NFLX hanging in there 
47320440514953218;4;Who will be Cinderella in  NFLX is beating MSFT so far while BIDU is ahead of WMT V vs JNJ may go down to the wire
47326947684003840;2b;Who will be Cinderella in  NFLX is beating MSFT so far while BIDU is ahead of WMT LaMonicaBuz
47403467672780800;2b;DECK CMG APKT BIDU charts all very bullish IMHO  got two cup whandles and two square boxes setting up
47435311235596288;2b;Unbeliever008 the AAPL is doing good the rest are lousy I have got ETN AKAM and GOOG sold my BIDU this nuke reactor thing is scary
47439867860353024;0;Lowtown21 protected my NFLX minimal gain and sold my BiDu even tho it held up well could not swing it in these markets can notTell ya enuff
47629641472671744;4;Someone must have realized BIDU is a Chinese company 117 when I woke up back above 120 now 
47631813115518976;2a;ERROR
47635387220361216;0;ERROR
47639411042689024;2b;RT LaMonicaBuzz Round 2 of  is here via CNNMoney Wearedown to the Sweet 16 Can AMZN beat AAPL 
47640573158494208;4;Larger internet names are safe heaven among Chinese stocks   BIDU  
47641893668003840;0;Ugh partial fills just look ugly BIDU 11915
47642916352573440;2a;free trading chatroom is open  email tomTomwillardtradingcom to join some we r watching  LDK STP TSL OVTI SNDK JDSU BIDU GOOG
47648940048400384;4;PM Long BIDU SOHU ERX Looking at AGQ SINA YOKU CMG  at target prices
47650804869505025;2a;Rumor Baidu Xunlei Develop Download Services Client   BIDU  
47653519263666177;4;Should have set my scaled orders earliermissed a few entries juggling positions Green and good on all AGQ ERX SOHU BIDU SINA
47671179904942080;4;Johnsontrading A nice list you have there ARUN CMG BIDU
47672391131869185;4;ERROR
47673033682452480;2a;Today for me FOCUS  AAPL  BIDU  QQQQ
47677642689871872;4;ERROR
47684275604164608;2a;Option Activity Alert MetLife Baidu and Chesapeake Energy Corporation   BIDU  
47685867703242752;2a;Would have been up 4 had I held my positions AGQ BIDU SOHU ERX SINA from AM but reached my targets have peace of mind and time
47689757723078657;4;ERROR
47694880784392192;2a;ERROR
47695821549998080;2a;ERROR
47700725479915521;0;ERROR
47710017708756992;4;ERROR
47714973136338944;2b;ERROR
47716335458861056;2b;ERROR
47721731242205184;2a;ERROR
47733312260804608;4;ERROR
47748866342268929;2a;ERROR
47751584830070786;2b;cashed out on MOS sticking with positions in BIDU APKT CMG DECK  All but DECK holding up well
47768625708404736;2a;Minyanvilles T3 Live Midday Market Snapshot Tech Leaders Highlight Morning    BIDU  
47768627381932033;2a;Search Engine Giants YHOO GOOG BIDU   BIDU  
47769304510365696;4;Dont Panic These Stocks Noble Baidu Look Great to Buy BIDU NE
47779253877612545;4;ERROR
47813471450042368;2b;ERROR
47843595276922881;4;NFLX OPEN LULU PCLN ARUN BIDU APKT  look great considering the melt downall held the 50 day and will be go to stocks on a bounce
47873499011887104;4;Baidu mulls investment in Xunlei cooperation in a client product RD under way   BIDU  
47889384292364288;0;Baidu accused by writers of copyright theft   BIDU  
47933228044124160;0;Niubi I am sure bidu is weeping all the way to the bank about how tough they have it
48003541041819648;4;RT Johnsontrading Stocks holding up well watchlist LULU ARUN BIDU CMG WWWW OPEN OPNT JAZZ FTNT APKT UA HMSY
48014666546413568;2b;BIDU just shy of yesterdays gap  moving higher
48014999473491968;2a;SHORT AAPL  AMZN  BIDU
48015559585038337;4;BIDU Holding up well
48019499580014592;4;bidu super impressive here and recently
48022134445981696;4;A few leaders like SINA SOHU OPEN BIDU LULU but in a down trending market few strategies work 
48022370081972225;4;silly momo stocks continue to rally bidu nflx cmg pcln open lulu
48022661086969856;4;ERROR
48026428981260288;4;ERROR
48035422730846209;4;Groundhog day  Indexes down but BIDU OPEN UA APKT JAZZ YOKU SINA ARUN BSFT GMCR up
48043077625057281;0;RT Niubi Chinese writers accuse Baidu of stealing  Yahoo News tough being so dominant Lots of people gunning  
48046515507314688;2b;bidu totally crashingfigures
48046712505376769;2a;ERROR
48068263271337984;4;Sold a Apr condor on BIDU 100105 and 135140 for 133
48071409620099072;4;ERROR
48072156176859137;2a;ERROR
48072659208122368;0;Chinas Baidu BIDU is in another copyright flap but this time the issue is in its home country 
48088014697660416;4;ERROR
48091663511453696;4;Took a stab a bidu mar 125 at 35 got out at 52should have heldill take that
48093619764203520;4;Back in at 71 bidu mar 125
48107147531268096;4;ERROR
48114105302781952;2b;Out of bidu 55 small position got a bit greedyin at 71march 125
48128340527288321;2b;ERROR
48137415319240704;4;Baidu Stands Steady As Market Roils Dives   BIDU  
48142573386215424;4;Corner Use Weekly Chart To Spot Long Bases   BIDU  
48142575185567744;4;Baidu Bides Its Time By Forming A New Base   BIDU  
48175381223718912;2a;Someone just got a simple quote on BIDU Simplestockqtes 
48183581918507008;0;ERROR
48226551837364224;4;ERROR
48259420446146560;4;ERROR
48260509530718208;4;ERROR
48318571641708544;0;Baidu accused of infringing   BIDU  
48379238503550976;4;ERROR
48380175519453184;0;ERROR
48382593414078464;4;Lots of leaders up today AAPL CLF BIDU WYNN PCLN NFLX AAWW DE ISRG UNP JOBS etc  
48390163155533825;2a;Tech Stocks Trading Higher Apple Inc BIDU SNDK SOLR   BIDU  
48393147776118784;4;ERROR
48396533321834497;4;ERROR
48397074689040386;4;ERROR
48401696426164224;2a;Come on BIDU get to 125
48415243063410689;4;ERROR
48415552963747840;4;YOKU Nice action today BIDU also acting well
48430941328257024;4;BIDU continues above descending trendline Still down gap unfilled from 218201 10 dma cross 20 dma bullish 
48437527543164928;0;SPY AAPL BIDU LULU Total distribution See ya at dow 11000 No buyers coming in at all
48440843807367169;2b;ERROR
48443805556424704;2a;bidu within triangle 112 or 130  
48469122580881408;4;Short condors open for Apr AAPL 315320 380385 BIDU 100105 135140 CF 110115 145150 PCLN 405410 510515 MA 225230 270275
48470962127114240;2a;Facebook Buyer Beware Says FINRA  Tech Trader Daily  Barrons GOOG YHOO BIDU YOKU SOHU SINA EBAY AMZN 
48474467969675265;2a;ERROR
48480066421796864;0;bidu 130 mar calls earlierwas looking for a bounce now worthless
48487944612352000;2b;US Stocks Up Sharply But Volume Declines   BIDU  
48488947067797504;2b;BIDU Hanging tough
48494682623328256;0;RT Niubi Business China  Dangdamg CEO says pulling ads from baidu over book piracy charges how material 2 bidu  
48518463798517760;2a;Random Technical Analysis March 17 2011 BAC C AXTI BIDU AKAM CAT FFIV AAPL I will have analysis 
48530308626259968;4;ERROR
48541742554824704;4;My target to options early morning CATBABIDUCLFMTWYNNDEMEECMIFLRCSX
48730998405468160;4;25 current stocks meeting CANSLIM criteria ENTR AAPL AXTI BIDU BRCM CAVM CLF CROX CTRP CTSH EBIX FFIV GOOG HS IPGP LULU MED
48739342230888448;4;Lots of leaders on the move so far this morning  AAPL CLF OPEN BIDU WYNN UNP DE AAWW etc  
48743804894842880;2b;ERROR
48768268198092800;0;goog bidu all on short watch if they go red only for the pros out there
48768806289551360;0;ERROR
48769363980992513;4;ERROR
48770018032365568;0;Baidus internal analysis post Qihootencent war bidu needs strong client software as strategic reserve 2 cover up relative disadvantages
48772592395497472;4;goog bidu shorts giving some love
48788004805951488;2a;BIDU Triangle pattern 
48820615121080320;4;bidu covered 12 ss 60
49186210161246208;2b;BIDU this one is interesting been very strong considering but appears in bear flag Macd still looking good 
49186686898409472;2b;BIDU weekly divergences here looks weaker than daily but could just pop right up still close to all time highs 
49251607761797120;0;ERROR
49354735156854784;4;ERROR
49431499916845057;0;ERROR
49564976117063680;2b;BIDU the trading boundaries from BYH790113 
49603275221245952;4;You want earnings growth IBD 50s BIDU SLW NOG CLF GPOR expected to report tripledigit growth this quarter 
49605285249159168;4;IBD 50s Top 5 Estimated Profit Gains Include Baidu   BIDU  
49635215437602816;2b;ERROR
49644807500480514;0;Bye Bye Baidu by LeafWest  Slope Of Hope with Tim Knight bidu bear flag going back to 100
49678726228746240;2b;ERROR
49682358642806784;4;BIDU holding up and sitting right on 10wk line  
49738270359289859;2b;Google China Blocking Gmail   BIDU  
49785314583126016;2a;ERROR
49836263137742848;4;ERROR
49836653161877504;2a;ChartDiva LiquidTrader You posted nearly identical BIDU Long      
49837718221504512;2b;ERROR
49837738723246080;4;Short FFIV and NKE  Long BIDU so far today
49838391801544704;4;ERROR
